content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,tokens,clean_tokens,stemmed_tokens,final_text
sangat membantu,5,0,2.3.5,2025-08-17 08:42:30,,,"['sangat', 'membantu']",['membantu'],['bantu'],bantu
sangat membantu masyarakat apalagi pelajar,5,0,2.3.5,2025-08-17 02:16:29,,,"['sangat', 'membantu', 'masyarakat', 'apalagi', 'pelajar']","['membantu', 'masyarakat', 'pelajar']","['bantu', 'masyarakat', 'ajar']",bantu masyarakat ajar
luar biasa,5,0,2.3.5,2025-08-16 01:55:24,,,"['luar', 'biasa']","['luar', 'biasa']","['luar', 'biasa']",luar biasa
terimakasih atas pelayanan selama inj,5,0,2.3.5,2025-08-15 08:09:53,,,"['terimakasih', 'atas', 'pelayanan', 'selama', 'inj']","['terimakasih', 'pelayanan', 'inj']","['terimakasih', 'layan', 'inj']",terimakasih layan inj
bagus tingkatin,5,0,2.3.5,2025-08-14 10:08:40,,,"['bagus', 'tingkatin']","['bagus', 'tingkatin']","['bagus', 'tingkatin']",bagus tingkatin
sangat bermanfaat sekali,5,0,2.3.5,2025-08-13 09:47:44,,,"['sangat', 'bermanfaat', 'sekali']",['bermanfaat'],['manfaat'],manfaat
mamtap,5,0,2.3.5,2025-08-05 16:44:51,,,['mamtap'],['mamtap'],['mamtap'],mamtap
panduan lengkap dan tidak lelet juga tidak perlu sign up weldone,5,1,2.3.5,2025-08-01 01:42:58,,,"['panduan', 'lengkap', 'dan', 'tidak', 'lelet', 'juga', 'tidak', 'perlu', 'sign', 'up', 'weldone']","['panduan', 'lengkap', 'lelet', 'sign', 'up', 'weldone']","['pandu', 'lengkap', 'lelet', 'sign', 'up', 'weldone']",pandu lengkap lelet sign up weldone
bagus,5,0,2.3.5,2025-07-31 23:40:52,,,['bagus'],['bagus'],['bagus'],bagus
cukup informatif,4,0,2.3.5,2025-07-23 23:18:06,,,"['cukup', 'informatif']",['informatif'],['informatif'],informatif
penjaga asik main hp sendiri bus dibiarin lewat begitu saja,1,0,,2025-07-23 05:10:19,,,"['penjaga', 'asik', 'main', 'hp', 'sendiri', 'bus', 'dibiarin', 'lewat', 'begitu', 'saja']","['penjaga', 'asik', 'main', 'hp', 'bus', 'dibiarin']","['jaga', 'asik', 'main', 'hp', 'bus', 'dibiarin']",jaga asik main hp bus dibiarin
terimakasih sekali sangat membantu dan informatif perjalanan jadi lebih sat set,5,3,2.3.3,2025-07-13 05:03:55,,,"['terimakasih', 'sekali', 'sangat', 'membantu', 'dan', 'informatif', 'perjalanan', 'jadi', 'lebih', 'sat', 'set']","['terimakasih', 'membantu', 'informatif', 'perjalanan', 'sat', 'set']","['terimakasih', 'bantu', 'informatif', 'jalan', 'sat', 'set']",terimakasih bantu informatif jalan sat set
ok,5,0,2.3.3,2025-07-13 03:55:33,,,['ok'],['ok'],['ok'],ok
aplikasi yang sangat membantu sekali selama di transjogja bisa keliling transjogja santai sambil duduk manis,5,1,2.3.2,2025-07-11 07:02:51,,,"['aplikasi', 'yang', 'sangat', 'membantu', 'sekali', 'selama', 'di', 'transjogja', 'bisa', 'keliling', 'transjogja', 'santai', 'sambil', 'duduk', 'manis']","['aplikasi', 'membantu', 'transjogja', 'keliling', 'transjogja', 'santai', 'duduk', 'manis']","['aplikasi', 'bantu', 'transjogja', 'keliling', 'transjogja', 'santai', 'duduk', 'manis']",aplikasi bantu transjogja keliling transjogja santai duduk manis
aplikasi transjogja transjogja memang luar biasa bisa mengetahui jadwal rute transjogja transjogja dengan akurat apalagi bisa membeli voucher atau tiket secara online untuk pembelian tiket secara online tolong ditambahkan pembayaran go pay dana shopeepay dan lain lain,5,6,2.3.2,2025-07-09 15:38:08,,,"['aplikasi', 'transjogja', 'transjogja', 'memang', 'luar', 'biasa', 'bisa', 'mengetahui', 'jadwal', 'rute', 'transjogja', 'transjogja', 'dengan', 'akurat', 'apalagi', 'bisa', 'membeli', 'voucher', 'atau', 'tiket', 'secara', 'online', 'untuk', 'pembelian', 'tiket', 'secara', 'online', 'tolong', 'ditambahkan', 'pembayaran', 'go', 'pay', 'dana', 'shopeepay', 'dan', 'lain', 'lain']","['aplikasi', 'transjogja', 'transjogja', 'luar', 'biasa', 'jadwal', 'rute', 'transjogja', 'transjogja', 'akurat', 'membeli', 'voucher', 'tiket', 'online', 'pembelian', 'tiket', 'online', 'tolong', 'pembayaran', 'go', 'pay', 'dana', 'shopeepay']","['aplikasi', 'transjogja', 'transjogja', 'luar', 'biasa', 'jadwal', 'rute', 'transjogja', 'transjogja', 'akurat', 'beli', 'voucher', 'tiket', 'online', 'beli', 'tiket', 'online', 'tolong', 'bayar', 'go', 'pay', 'dana', 'shopeepay']",aplikasi transjogja transjogja luar biasa jadwal rute transjogja transjogja akurat beli voucher tiket online beli tiket online tolong bayar go pay dana shopeepay
mantap sangat sangat membantu sekali transjogja transjogja ini terimakasih semoga njalur yang ke imogiri sm srandakan di tmbh armada nya,5,0,2.3.2,2025-07-07 01:16:42,,,"['mantap', 'sangat', 'sangat', 'membantu', 'sekali', 'transjogja', 'transjogja', 'ini', 'terimakasih', 'semoga', 'njalur', 'yang', 'ke', 'imogiri', 'sm', 'srandakan', 'di', 'tmbh', 'armada', 'nya']","['mantap', 'membantu', 'transjogja', 'transjogja', 'terimakasih', 'semoga', 'njalur', 'imogiri', 'sm', 'srandakan', 'tmbh', 'armada']","['mantap', 'bantu', 'transjogja', 'transjogja', 'terimakasih', 'moga', 'njalur', 'imogiri', 'sm', 'srandakan', 'tmbh', 'armada']",mantap bantu transjogja transjogja terimakasih moga njalur imogiri sm srandakan tmbh armada
mantap,5,0,2.3.2,2025-07-06 03:33:31,,,['mantap'],['mantap'],['mantap'],mantap
dalam seminggu atau x pakai transportasi ini secara keseluruhan cukup ok hanya saja tadi malam juni sangat kecewa dengan pelayana kru transjogja paksa penumpan turun tanpa pemberitahuan sebelumnya saya tanya alasan diminta turun dijawab jam operasional sudah habis saat itu jam di halte amikom kondisi gelap ok lah kalau sudah aturan tapi setidaknya ada pemberitahuan pada saat penumpang naik atau paling tidak di halte concat jadi sudah ada persiapan apalagi lagi bawa bayi,2,1,,2025-06-18 03:09:55,,,"['dalam', 'seminggu', 'atau', 'x', 'pakai', 'transportasi', 'ini', 'secara', 'keseluruhan', 'cukup', 'ok', 'hanya', 'saja', 'tadi', 'malam', 'juni', 'sangat', 'kecewa', 'dengan', 'pelayana', 'kru', 'transjogja', 'paksa', 'penumpan', 'turun', 'tanpa', 'pemberitahuan', 'sebelumnya', 'saya', 'tanya', 'alasan', 'diminta', 'turun', 'dijawab', 'jam', 'operasional', 'sudah', 'habis', 'saat', 'itu', 'jam', 'di', 'halte', 'amikom', 'kondisi', 'gelap', 'ok', 'lah', 'kalau', 'sudah', 'aturan', 'tapi', 'setidaknya', 'ada', 'pemberitahuan', 'pada', 'saat', 'penumpang', 'naik', 'atau', 'paling', 'tidak', 'di', 'halte', 'concat', 'jadi', 'sudah', 'ada', 'persiapan', 'apalagi', 'lagi', 'bawa', 'bayi']","['seminggu', 'x', 'pakai', 'transportasi', 'ok', 'malam', 'juni', 'kecewa', 'pelayana', 'kru', 'transjogja', 'paksa', 'penumpan', 'turun', 'pemberitahuan', 'alasan', 'turun', 'jam', 'operasional', 'habis', 'jam', 'halte', 'amikom', 'kondisi', 'gelap', 'ok', 'aturan', 'pemberitahuan', 'penumpang', 'halte', 'concat', 'persiapan', 'bawa', 'bayi']","['minggu', 'x', 'pakai', 'transportasi', 'ok', 'malam', 'juni', 'kecewa', 'pelayana', 'kru', 'transjogja', 'paksa', 'penumpan', 'turun', 'pemberitahuan', 'alas', 'turun', 'jam', 'operasional', 'habis', 'jam', 'halte', 'amikom', 'kondisi', 'gelap', 'ok', 'atur', 'pemberitahuan', 'tumpang', 'halte', 'concat', 'siap', 'bawa', 'bayi']",minggu x pakai transportasi ok malam juni kecewa pelayana kru transjogja paksa penumpan turun pemberitahuan alas turun jam operasional habis jam halte amikom kondisi gelap ok atur pemberitahuan tumpang halte concat siap bawa bayi
inii kenapa tidak bia log inn tolong ya beri info segera,3,0,2.3.2,2025-06-12 12:50:16,,,"['inii', 'kenapa', 'tidak', 'bia', 'log', 'inn', 'tolong', 'ya', 'beri', 'info', 'segera']","['inii', 'bia', 'log', 'inn', 'tolong', 'info']","['ini', 'bia', 'log', 'inn', 'tolong', 'info']",ini bia log inn tolong info
akurat,5,0,2.3.2,2025-06-09 03:49:04,,,['akurat'],['akurat'],['akurat'],akurat
pelayanan tidak sopan kurang adat cek lagi yang jaga di halte malioboro menggoda istri orang,1,0,,2025-06-06 10:06:41,,,"['pelayanan', 'tidak', 'sopan', 'kurang', 'adat', 'cek', 'lagi', 'yang', 'jaga', 'di', 'halte', 'malioboro', 'menggoda', 'istri', 'orang']","['pelayanan', 'sopan', 'adat', 'cek', 'jaga', 'halte', 'malioboro', 'menggoda', 'istri', 'orang']","['layan', 'sopan', 'adat', 'cek', 'jaga', 'halte', 'malioboro', 'goda', 'istri', 'orang']",layan sopan adat cek jaga halte malioboro goda istri orang
baik pelayanan transportasi umum,5,0,2.3.2,2025-06-04 03:24:12,,,"['baik', 'pelayanan', 'transportasi', 'umum']","['baik', 'pelayanan', 'transportasi']","['baik', 'layan', 'transportasi']",baik layan transportasi
ditunggu rute baru di dua kabupaten diy gunung kidul dan kulonprogo dan juga khususnya di rute tempat wisata seperti pantai,5,0,2.3.2,2025-06-03 01:27:51,,,"['ditunggu', 'rute', 'baru', 'di', 'dua', 'kabupaten', 'diy', 'gunung', 'kidul', 'dan', 'kulonprogo', 'dan', 'juga', 'khususnya', 'di', 'rute', 'tempat', 'wisata', 'seperti', 'pantai']","['ditunggu', 'rute', 'kabupaten', 'diy', 'gunung', 'kidul', 'kulonprogo', 'rute', 'wisata', 'pantai']","['tunggu', 'rute', 'kabupaten', 'diy', 'gunung', 'kidul', 'kulonprogo', 'rute', 'wisata', 'pantai']",tunggu rute kabupaten diy gunung kidul kulonprogo rute wisata pantai
good,5,0,2.3.2,2025-06-03 00:50:51,,,['good'],['good'],['good'],good
kurang lengkap menurut saya saya kan dari desa yang tidak ada transjogja mau ke kota tidak ada jalur di keterangannya kalau yang aplikasi transjogja yang satunya dijelaskan kalau mesti naik motor ke terminal mnt lalu naik transjogja ke halte berapa saja sampai ke tujuan atau halte terdekat kalau tujuan jauh dari halte ada keterangan jalan kaki brp menit atau naik ojek tapi aplikasi itu udah tidak bisa dipakai,3,2,2.3.2,2025-05-27 13:10:34,,,"['kurang', 'lengkap', 'menurut', 'saya', 'saya', 'kan', 'dari', 'desa', 'yang', 'tidak', 'ada', 'transjogja', 'mau', 'ke', 'kota', 'tidak', 'ada', 'jalur', 'di', 'keterangannya', 'kalau', 'yang', 'aplikasi', 'transjogja', 'yang', 'satunya', 'dijelaskan', 'kalau', 'mesti', 'naik', 'motor', 'ke', 'terminal', 'mnt', 'lalu', 'naik', 'transjogja', 'ke', 'halte', 'berapa', 'saja', 'sampai', 'ke', 'tujuan', 'atau', 'halte', 'terdekat', 'kalau', 'tujuan', 'jauh', 'dari', 'halte', 'ada', 'keterangan', 'jalan', 'kaki', 'brp', 'menit', 'atau', 'naik', 'ojek', 'tapi', 'aplikasi', 'itu', 'udah', 'tidak', 'bisa', 'dipakai']","['lengkap', 'desa', 'transjogja', 'kota', 'jalur', 'keterangannya', 'aplikasi', 'transjogja', 'satunya', 'mesti', 'motor', 'terminal', 'mnt', 'transjogja', 'halte', 'tujuan', 'halte', 'terdekat', 'tujuan', 'halte', 'keterangan', 'jalan', 'kaki', 'brp', 'menit', 'ojek', 'aplikasi', 'udah', 'dipakai']","['lengkap', 'desa', 'transjogja', 'kota', 'jalur', 'terang', 'aplikasi', 'transjogja', 'satu', 'mesti', 'motor', 'terminal', 'mnt', 'transjogja', 'halte', 'tuju', 'halte', 'dekat', 'tuju', 'halte', 'terang', 'jalan', 'kaki', 'brp', 'menit', 'ojek', 'aplikasi', 'udah', 'pakai']",lengkap desa transjogja kota jalur terang aplikasi transjogja satu mesti motor terminal mnt transjogja halte tuju halte dekat tuju halte terang jalan kaki brp menit ojek aplikasi udah pakai
real time sangat membantu,5,0,2.3.2,2025-05-26 10:25:53,,,"['real', 'time', 'sangat', 'membantu']","['real', 'time', 'membantu']","['real', 'time', 'bantu']",real time bantu
sudah armadanya sedikit eh untuk beberapa rute malah ada beberapa jurusan bus ada yang dihapus ini gimana sih bus transjogja malah makin kurang kualitasnya tidak jelas,1,0,,2025-05-22 06:57:23,,,"['sudah', 'armadanya', 'sedikit', 'eh', 'untuk', 'beberapa', 'rute', 'malah', 'ada', 'beberapa', 'jurusan', 'bus', 'ada', 'yang', 'dihapus', 'ini', 'gimana', 'sih', 'bus', 'transjogja', 'malah', 'makin', 'kurang', 'kualitasnya', 'tidak', 'jelas']","['armadanya', 'eh', 'rute', 'jurusan', 'bus', 'dihapus', 'gimana', 'bus', 'transjogja', 'kualitasnya']","['armada', 'eh', 'rute', 'jurus', 'bus', 'hapus', 'gimana', 'bus', 'transjogja', 'kualitas']",armada eh rute jurus bus hapus gimana bus transjogja kualitas
utk jalur kenapa portable kronggahan dihilangkan padahal membantu bagi yang mau ke rsa ugm portable sepanjang jl godean setelah dentes padahal kurang penumpangnya tapi malah ada banyak kalau alasannya krn pengerjaan tol menunggu berapa tahun selesainya terimakasih,5,0,2.3.2,2025-05-19 11:21:46,,,"['utk', 'jalur', 'kenapa', 'portable', 'kronggahan', 'dihilangkan', 'padahal', 'membantu', 'bagi', 'yang', 'mau', 'ke', 'rsa', 'ugm', 'portable', 'sepanjang', 'jl', 'godean', 'setelah', 'dentes', 'padahal', 'kurang', 'penumpangnya', 'tapi', 'malah', 'ada', 'banyak', 'kalau', 'alasannya', 'krn', 'pengerjaan', 'tol', 'menunggu', 'berapa', 'tahun', 'selesainya', 'terimakasih']","['utk', 'jalur', 'portable', 'kronggahan', 'dihilangkan', 'membantu', 'rsa', 'ugm', 'portable', 'jl', 'godean', 'dentes', 'penumpangnya', 'alasannya', 'krn', 'pengerjaan', 'tol', 'menunggu', 'selesainya', 'terimakasih']","['utk', 'jalur', 'portable', 'kronggahan', 'hilang', 'bantu', 'rsa', 'ugm', 'portable', 'jl', 'godean', 'dentes', 'tumpang', 'alas', 'krn', 'kerja', 'tol', 'tunggu', 'selesai', 'terimakasih']",utk jalur portable kronggahan hilang bantu rsa ugm portable jl godean dentes tumpang alas krn kerja tol tunggu selesai terimakasih
kecewa saya lagi buru bisa bisanya bus no tidak berhenti di wojo intinya kernet bus nya suruh buka mata kalau ada halte,1,0,,2025-05-14 06:38:59,,,"['kecewa', 'saya', 'lagi', 'buru', 'bisa', 'bisanya', 'bus', 'no', 'tidak', 'berhenti', 'di', 'wojo', 'intinya', 'kernet', 'bus', 'nya', 'suruh', 'buka', 'mata', 'kalau', 'ada', 'halte']","['kecewa', 'buru', 'bisanya', 'bus', 'no', 'berhenti', 'wojo', 'intinya', 'kernet', 'bus', 'suruh', 'buka', 'mata', 'halte']","['kecewa', 'buru', 'bisa', 'bus', 'no', 'henti', 'wojo', 'inti', 'kernet', 'bus', 'suruh', 'buka', 'mata', 'halte']",kecewa buru bisa bus no henti wojo inti kernet bus suruh buka mata halte
dengan aplikasi ni sangat membantu kejujuran pramugara untuk mengisi jmlah pnumpang trimakasi sukses kedepan trjaga lbih baik,5,1,2.2.1,2025-05-13 09:42:18,,,"['dengan', 'aplikasi', 'ni', 'sangat', 'membantu', 'kejujuran', 'pramugara', 'untuk', 'mengisi', 'jmlah', 'pnumpang', 'trimakasi', 'sukses', 'kedepan', 'trjaga', 'lbih', 'baik']","['aplikasi', 'ni', 'membantu', 'kejujuran', 'pramugara', 'mengisi', 'jmlah', 'pnumpang', 'trimakasi', 'sukses', 'kedepan', 'trjaga', 'lbih', 'baik']","['aplikasi', 'ni', 'bantu', 'jujur', 'pramugara', 'isi', 'jmlah', 'pnumpang', 'trimakasi', 'sukses', 'depan', 'trjaga', 'lbih', 'baik']",aplikasi ni bantu jujur pramugara isi jmlah pnumpang trimakasi sukses depan trjaga lbih baik
mantul,5,0,,2025-05-09 22:56:33,,,['mantul'],['mantul'],['mantul'],mantul
untuk bus jalur arah pasar belut godean tidak terdeteksi di aplikasi,4,0,2.3.2,2025-05-09 11:15:47,,,"['untuk', 'bus', 'jalur', 'arah', 'pasar', 'belut', 'godean', 'tidak', 'terdeteksi', 'di', 'aplikasi']","['bus', 'jalur', 'arah', 'pasar', 'belut', 'godean', 'terdeteksi', 'aplikasi']","['bus', 'jalur', 'arah', 'pasar', 'belut', 'godean', 'deteksi', 'aplikasi']",bus jalur arah pasar belut godean deteksi aplikasi
pelayanan karyawan sangat buruk bus panas tidak seprti di solo,1,1,2.3.2,2025-05-05 04:37:19,,,"['pelayanan', 'karyawan', 'sangat', 'buruk', 'bus', 'panas', 'tidak', 'seprti', 'di', 'solo']","['pelayanan', 'karyawan', 'buruk', 'bus', 'panas', 'seprti', 'solo']","['layan', 'karyawan', 'buruk', 'bus', 'panas', 'seprti', 'solo']",layan karyawan buruk bus panas seprti solo
istimewa sangat membantu dan memudahkan,5,0,2.3.2,2025-05-04 01:31:18,,,"['istimewa', 'sangat', 'membantu', 'dan', 'memudahkan']","['istimewa', 'membantu', 'memudahkan']","['istimewa', 'bantu', 'mudah']",istimewa bantu mudah
good great,5,0,2.3.1,2025-05-02 04:18:33,,,"['good', 'great']","['good', 'great']","['good', 'great']",good great
bagus,5,0,,2025-04-27 10:51:29,,,['bagus'],['bagus'],['bagus'],bagus
baik,4,0,,2025-04-21 07:33:21,,,['baik'],['baik'],['baik'],baik
buka jam dong,5,0,2.3.1,2025-04-18 09:53:29,,,"['buka', 'jam', 'dong']","['buka', 'jam']","['buka', 'jam']",buka jam
baik,4,0,,2025-04-17 14:48:31,,,['baik'],['baik'],['baik'],baik
jos bisa tahu posisi bus,5,0,2.3.1,2025-04-17 03:27:40,,,"['jos', 'bisa', 'tahu', 'posisi', 'bus']","['jos', 'posisi', 'bus']","['jos', 'posisi', 'bus']",jos posisi bus
sekarang banyak rite yang diubah dan ditiadakan dulu saya sering menggunakan transportasi ini untuk pergi kekampus dan tempat lain lain tapi karena perubahan ini saya jadi jarang menggunakan harapan saya semoga transjogja bisa ditingkatkan lagi ditambah jalur bukan malah seperti yang sekarang,3,0,2.3.1,2025-04-16 05:11:26,,,"['sekarang', 'banyak', 'rite', 'yang', 'diubah', 'dan', 'ditiadakan', 'dulu', 'saya', 'sering', 'menggunakan', 'transportasi', 'ini', 'untuk', 'pergi', 'kekampus', 'dan', 'tempat', 'lain', 'lain', 'tapi', 'karena', 'perubahan', 'ini', 'saya', 'jadi', 'jarang', 'menggunakan', 'harapan', 'saya', 'semoga', 'transjogja', 'bisa', 'ditingkatkan', 'lagi', 'ditambah', 'jalur', 'bukan', 'malah', 'seperti', 'yang', 'sekarang']","['rite', 'diubah', 'ditiadakan', 'transportasi', 'pergi', 'kekampus', 'perubahan', 'jarang', 'harapan', 'semoga', 'transjogja', 'ditingkatkan', 'ditambah', 'jalur']","['rite', 'ubah', 'tiada', 'transportasi', 'pergi', 'kampus', 'ubah', 'jarang', 'harap', 'moga', 'transjogja', 'tingkat', 'tambah', 'jalur']",rite ubah tiada transportasi pergi kampus ubah jarang harap moga transjogja tingkat tambah jalur
kereeen,5,0,2.3.1,2025-04-14 10:16:36,,,['kereeen'],['kereeen'],['kereeen'],kereeen
aplikasi tidak jelas nomer penumpang sering ngebug terus tempat bus juga sering delay,1,0,2.3.1,2025-04-14 06:52:37,,,"['aplikasi', 'tidak', 'jelas', 'nomer', 'penumpang', 'sering', 'ngebug', 'terus', 'tempat', 'bus', 'juga', 'sering', 'delay']","['aplikasi', 'nomer', 'penumpang', 'ngebug', 'bus', 'delay']","['aplikasi', 'nomer', 'tumpang', 'ngebug', 'bus', 'delay']",aplikasi nomer tumpang ngebug bus delay
sangat membantu sekali,5,0,2.3.1,2025-04-12 13:53:22,,,"['sangat', 'membantu', 'sekali']",['membantu'],['bantu'],bantu
tolong untuk jalur jalan raya magelang jam operasional dibuka sampai jam malam krn kami para pekerja sangat susah terimakasih,3,0,2.3.1,2025-04-11 13:14:16,,,"['tolong', 'untuk', 'jalur', 'jalan', 'raya', 'magelang', 'jam', 'operasional', 'dibuka', 'sampai', 'jam', 'malam', 'krn', 'kami', 'para', 'pekerja', 'sangat', 'susah', 'terimakasih']","['tolong', 'jalur', 'jalan', 'raya', 'magelang', 'jam', 'operasional', 'dibuka', 'jam', 'malam', 'krn', 'pekerja', 'susah', 'terimakasih']","['tolong', 'jalur', 'jalan', 'raya', 'magelang', 'jam', 'operasional', 'buka', 'jam', 'malam', 'krn', 'kerja', 'susah', 'terimakasih']",tolong jalur jalan raya magelang jam operasional buka jam malam krn kerja susah terimakasih
interval bus nya sangat lama tidak seperti teman bus pendahulunya,1,0,2.3.0,2025-04-11 10:42:36,,,"['interval', 'bus', 'nya', 'sangat', 'lama', 'tidak', 'seperti', 'teman', 'bus', 'pendahulunya']","['interval', 'bus', 'teman', 'bus', 'pendahulunya']","['interval', 'bus', 'teman', 'bus', 'dahulu']",interval bus teman bus dahulu
saya mau beri plus untuk aplikasi ini,5,0,,2025-04-07 15:27:36,,,"['saya', 'mau', 'beri', 'plus', 'untuk', 'aplikasi', 'ini']","['plus', 'aplikasi']","['plus', 'aplikasi']",plus aplikasi
sedikit kecewa karena penggunaan fitur etiket tidak bisa digunakan petugas malah tidak tahu adanya fitur ini ujungnya saya harus bayar lagi,4,0,,2025-04-05 04:47:31,,,"['sedikit', 'kecewa', 'karena', 'penggunaan', 'fitur', 'etiket', 'tidak', 'bisa', 'digunakan', 'petugas', 'malah', 'tidak', 'tahu', 'adanya', 'fitur', 'ini', 'ujungnya', 'saya', 'harus', 'bayar', 'lagi']","['kecewa', 'penggunaan', 'fitur', 'etiket', 'petugas', 'fitur', 'ujungnya', 'bayar']","['kecewa', 'guna', 'fitur', 'etiket', 'tugas', 'fitur', 'ujung', 'bayar']",kecewa guna fitur etiket tugas fitur ujung bayar
mantap,5,0,2.3.1,2025-04-02 12:18:44,,,['mantap'],['mantap'],['mantap'],mantap
